TYPE LAT LON H FREQ A ICAO NAME
T 50.0564 -97.0325 760 118.5 50 CYAV "Winnipeg  St Andrews"
T 50.0564 -97.0325 760 120.7 50 CYAV "Winnipeg  St Andrews"
T 46.7884 -71.3976 244 120.3 50 CYQB "Quebec Jean Lesage"
T 46.7884 -71.3976 244 236.6 50 CYQB "Quebec Jean Lesage"
T 44.1189 -77.5281 283 128.7 50 CYTR "Trenton"
T 44.1189 -77.5281 283 236.6 50 CYTR "Trenton"
T 50.4319 -104.666 1894 118.6 50 CYQR "Regina"
T 50.4319 -104.666 1894 236.6 50 CYQR "Regina"
T 49.2161 -122.71 11 120 50 CYPK "Pitt Meadows"
T 49.2161 -122.71 11 126.3 50 CYPK "Pitt Meadows"
T 48.6469 -123.426 63 119.1 50 CYYJ "Victoria"
T 48.6469 -123.426 63 119.7 50 CYYJ "Victoria"
T 48.6469 -123.426 63 239.6 50 CYYJ "Victoria"
T 49.0253 -122.363 190 119.4 50 CYXX "Abbotsford"
T 49.0253 -122.363 190 121 50 CYXX "Abbotsford"
T 49.0253 -122.363 190 295 50 CYXX "Abbotsford"
T 45.6797 -74.0386 270 119.1 50 CYMX "Montreal Mirabel"
T 45.6797 -74.0386 270 282.4 50 CYMX "Montreal Mirabel"
T 43.4589 -80.3844 1040 118.55 50 CYKF "Waterloo"
T 43.4589 -80.3844 1040 126 50 CYKF "Waterloo"
T 49.9028 -98.2747 885 126.2 50 CYPG "Southport"
T 49.9028 -98.2747 885 384.2 50 CYPG "Southport"
T 53.5725 -113.521 2200 119.1 50 CYXD "Edmonton City Centre"
T 53.5725 -113.521 2200 283.7 50 CYXD "Edmonton City Centre"
T 45.2944 -73.2811 136 118.2 50 CYJN "St Jean"
T 45.2944 -73.2811 136 356.8 50 CYJN "St Jean"
T 44.8808 -63.5086 477 118.4 50 CYHZ "Halifax"
T 44.8808 -63.5086 477 236.6 50 CYHZ "Halifax"
T 46.1122 -64.6786 232 120.8 50 CYQM "Greater Moncton"
T 46.1122 -64.6786 232 236.6 50 CYQM "Greater Moncton"
T 51.1139 -114.02 3557 118.4 50 CYYC "Calgary"
T 51.1139 -114.02 3557 236.6 50 CYYC "Calgary"
T 46.625 -80.7989 1140 125.5 50 CYSB "Sudbury"
